manufacturer,model,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Volkswagen,Golf,e-Golf,85,19.12.2018,80108,82.0,15.13,Electricity,Winter tires,0,0,1,Normal,15.2,0,1,83.0,-1.6000000000000014,
Volkswagen,Golf,e-Golf,85,18.12.2018,80026,44.0,9.68,Electricity,Winter tires,0,0,1,Normal,16.4,0,0,17.0,-0.40000000000000213,
Volkswagen,Golf,e-Golf,85,12.12.2018,79982,78.0,8.91,Electricity,Winter tires,0,0,1,Normal,16.0,0,0,51.0,-0.8000000000000007,
Volkswagen,Golf,e-Golf,85,11.12.2018,79904,40.0,6.07,Electricity,Winter tires,0,1,0,Normal,18.3,0,0,59.0,1.5,
Volkswagen,Golf,e-Golf,85,10.12.2018,79864,38.0,10.5,Electricity,Winter tires,0,0,1,Normal,16.2,0,0,48.0,-0.6000000000000014,
Volkswagen,Golf,e-Golf,85,10.12.2018,79826,42.0,6.93,Electricity,Winter tires,0,0,1,Normal,16.5,0,0,39.0,-0.3000000000000007,
Volkswagen,Golf,e-Golf,85,07.12.2018,79784,80.0,8.06,Electricity,Winter tires,0,0,1,Normal,15.9,0,0,48.0,-0.9000000000000004,
Volkswagen,Golf,e-Golf,85,06.12.2018,79704,57.0,10.81,Electricity,Winter tires,0,0,1,Normal,17.3,0,0,49.0,0.5,
Volkswagen,Golf,e-Golf,85,04.12.2018,79647,43.0,12.33,Electricity,Winter tires,0,1,0,Normal,16.5,0,0,45.0,-0.3000000000000007,
Volkswagen,Golf,e-Golf,85,03.12.2018,79604,33.0,8.64,Electricity,Winter tires,0,0,1,Normal,16.8,0,0,68.0,0.0,
Volkswagen,Golf,e-Golf,85,02.12.2018,79571,61.0,3.41,Electricity,Winter tires,0,0,1,Normal,15.3,0,0,58.0,-1.5,
Volkswagen,Golf,e-Golf,85,02.12.2018,79510,70.0,8.33,Electricity,Winter tires,0,0,1,Normal,14.6,0,0,55.0,-2.200000000000001,
Volkswagen,Golf,e-Golf,85,02.12.2018,79440,33.0,3.14,Electricity,Winter tires,0,0,1,Moderate,14.0,0,0,62.0,-2.8000000000000007,
Volkswagen,Golf,e-Golf,85,01.12.2018,79407,51.0,8.31,Electricity,Winter tires,1,1,0,Normal,16.3,0,1,36.0,-0.5,
Volkswagen,Golf,e-Golf,85,29.11.2018,79356,42.0,15.12,Electricity,Winter tires,1,1,0,Fast,20.4,0,1,37.0,3.599999999999998,
Volkswagen,Golf,e-Golf,85,24.11.2018,79314,83.0,7.23,Electricity,Winter tires,1,0,1,Normal,16.6,0,1,46.0,-0.1999999999999993,
Volkswagen,Golf,e-Golf,85,21.11.2018,79231,82.0,13.64,Electricity,Winter tires,0,0,1,Normal,16.1,0,1,43.0,-0.6999999999999993,
Volkswagen,Golf,e-Golf,85,20.11.2018,79149,47.0,13.86,Electricity,Winter tires,0,1,0,Normal,18.8,0,1,78.0,2.0,
Volkswagen,Golf,e-Golf,85,19.11.2018,79102,49.0,3.42,Electricity,Winter tires,0,1,0,Normal,14.9,0,1,39.0,-1.9000000000000004,
Volkswagen,Golf,e-Golf,85,19.11.2018,79053,64.0,10.62,Electricity,Winter tires,0,0,1,Normal,15.3,0,1,72.0,-1.5,
Volkswagen,Golf,e-Golf,85,16.11.2018,78989,80.0,11.4,Electricity,Winter tires,0,0,1,Normal,14.7,0,1,51.0,-2.1000000000000014,
Volkswagen,Golf,e-Golf,85,16.11.2018,78909,64.0,10.91,Electricity,Winter tires,0,0,1,Normal,16.5,0,1,62.0,-0.3000000000000007,
Volkswagen,Golf,e-Golf,85,15.11.2018,78845,76.0,8.93,Electricity,Winter tires,0,1,1,Normal,14.9,0,1,44.0,-1.9000000000000004,
Volkswagen,Golf,e-Golf,85,14.11.2018,78769,18.0,2.92,Electricity,Winter tires,1,1,0,Normal,14.1,0,1,52.0,-2.700000000000001,
Volkswagen,Golf,e-Golf,85,14.11.2018,78751,43.0,6.45,Electricity,Winter tires,1,1,0,Normal,15.9,0,1,40.0,-0.9000000000000004,
Volkswagen,Golf,e-Golf,85,10.11.2018,78708,19.0,7.88,Electricity,Winter tires,0,1,0,Fast,19.6,0,1,71.0,2.8000000000000007,
Volkswagen,Golf,e-Golf,85,10.11.2018,78689,57.0,8.61,Electricity,Winter tires,0,0,1,Normal,15.1,0,1,44.0,-1.700000000000001,
Volkswagen,Golf,e-Golf,85,09.11.2018,78632,22.0,6.81,Electricity,Winter tires,0,0,1,Moderate,12.8,0,0,42.0,-4.0,
Volkswagen,Golf,e-Golf,85,09.11.2018,78610,40.0,6.51,Electricity,Winter tires,0,0,1,Normal,14.8,0,1,41.0,-2.0,
Volkswagen,Golf,e-Golf,85,08.11.2018,78570,108.0,7.35,Electricity,Winter tires,0,0,1,Normal,14.9,0,1,41.0,-1.9000000000000004,
Volkswagen,Golf,e-Golf,85,03.11.2018,78462,61.0,13.13,Electricity,Winter tires,0,0,1,Normal,15.2,0,1,55.0,-1.6000000000000014,
Volkswagen,Golf,e-Golf,85,02.11.2018,78401,57.0,11.72,Electricity,Winter tires,0,0,1,Normal,13.3,0,1,64.0,-3.5,
Volkswagen,Golf,e-Golf,85,02.11.2018,78344,81.0,3.16,Electricity,Winter tires,0,0,1,Normal,13.8,0,1,49.0,-3.0,
Volkswagen,Golf,e-Golf,85,01.11.2018,78263,4.0,7.11,Electricity,Summer tires,1,0,0,Normal,17.0,0,1,15.0,0.1999999999999993,
Volkswagen,Golf,e-Golf,85,30.10.2018,78259,45.0,0.95,Electricity,Summer tires,1,0,1,Normal,16.4,0,1,28.0,-0.40000000000000213,
Volkswagen,Golf,e-Golf,85,28.10.2018,78214,81.0,15.4,Electricity,Summer tires,0,1,0,Moderate,16.8,0,1,62.0,0.0,
Volkswagen,Golf,e-Golf,85,27.10.2018,78133,6.0,15.0,Electricity,Summer tires,0,1,0,Moderate,12.6,0,1,37.0,-4.200000000000001,
Volkswagen,Golf,e-Golf,85,27.10.2018,78127,118.0,0.01,Electricity,Summer tires,1,1,0,Moderate,13.6,0,1,59.0,-3.200000000000001,
Volkswagen,Golf,e-Golf,85,27.10.2018,78009,84.0,7.52,Electricity,Summer tires,1,1,0,Normal,14.5,0,1,72.0,-2.3000000000000007,
Volkswagen,Golf,e-Golf,85,26.10.2018,77925,20.0,3.95,Electricity,Summer tires,1,0,0,Normal,16.5,0,1,20.0,-0.3000000000000007,
Volkswagen,Golf,e-Golf,85,26.10.2018,77905,74.0,14.51,Electricity,Summer tires,0,1,0,Normal,15.2,0,1,85.0,-1.6000000000000014,
Volkswagen,Golf,e-Golf,85,26.10.2018,77831,17.0,13.72,Electricity,Summer tires,0,1,0,Moderate,12.1,0,1,62.0,-4.700000000000001,
Volkswagen,Golf,e-Golf,85,26.10.2018,77814,82.0,0.33,Electricity,Summer tires,0,1,0,Moderate,12.1,0,1,64.0,-4.700000000000001,
